Indicator,Sub-indicator,Value
Long-run Economic,GDP,0.001
Long-run Economic,GNP,0.001
Long-run Economic,Capital Stock,0.002
Long-run Economic,Wage Rate,0.001
Long-run Economic,Full-Time Equivalent Jobs,19550
Conventional Revenue,2022,-38.6
Conventional Revenue,2023,-27.5
Conventional Revenue,2024,-18.8
Conventional Revenue,2025,-13.5
Conventional Revenue,2026,-7.4
Conventional Revenue,2027,-4.5
Conventional Revenue,2028,-4.9
Conventional Revenue,2029,-5.1
Conventional Revenue,2030,-5.3
Conventional Revenue,2031,-5.6
Conventional Revenue,2022 - 2031,-131.3
Dynamic Revenue,2022,-38.4
Dynamic Revenue,2023,-27.1
Dynamic Revenue,2024,-18.2
Dynamic Revenue,2025,-12.8
Dynamic Revenue,2026,-6.6
Dynamic Revenue,2027,-1.5
Dynamic Revenue,2028,-1.3
Dynamic Revenue,2029,-1
Dynamic Revenue,2030,-0.7
Dynamic Revenue,2031,-0.4
Dynamic Revenue,2022 - 2031,-107.9
2022 Conventional Distribution,0% - 20.0%,0.002
2022 Conventional Distribution,20.0% - 40.0%,0.001
2022 Conventional Distribution,40.0% - 60.0%,0.002
2022 Conventional Distribution,60.0% - 80.0%,0.002
2022 Conventional Distribution,80.0% - 100%,0.005
2022 Conventional Distribution,80.0% - 90.0%,0.002
2022 Conventional Distribution,90.0% - 95.0%,0.002
2022 Conventional Distribution,95.0% - 99.0%,0.004
2022 Conventional Distribution,99.0% - 100%,0.011
2022 Conventional Distribution,TOTAL FOR ALL,0.004
2031 Conventional Distribution,0% - 20.0%,0
2031 Conventional Distribution,20.0% - 40.0%,0
2031 Conventional Distribution,40.0% - 60.0%,0
2031 Conventional Distribution,60.0% - 80.0%,0
2031 Conventional Distribution,80.0% - 100%,0.001
2031 Conventional Distribution,80.0% - 90.0%,0
2031 Conventional Distribution,90.0% - 95.0%,0
2031 Conventional Distribution,95.0% - 99.0%,0
2031 Conventional Distribution,99.0% - 100%,0.001
2031 Conventional Distribution,TOTAL FOR ALL,0
Long-run Dynamic Distribution,0% - 20.0%,0.001
Long-run Dynamic Distribution,20.0% - 40.0%,0.001
Long-run Dynamic Distribution,40.0% - 60.0%,0.001
Long-run Dynamic Distribution,60.0% - 80.0%,0.001
Long-run Dynamic Distribution,80.0% - 100%,0.001
Long-run Dynamic Distribution,80.0% - 90.0%,0.001
Long-run Dynamic Distribution,90.0% - 95.0%,0.001
Long-run Dynamic Distribution,95.0% - 99.0%,0.001
Long-run Dynamic Distribution,99.0% - 100%,0.002
Long-run Dynamic Distribution,TOTAL FOR ALL,0.001
