Indicator,Sub-indicator,Value
Long-run Economic,GDP,-1.95E-16
Long-run Economic,GNP,0
Long-run Economic,Capital Stock,-2.33E-16
Long-run Economic,Wage Rate,1.8E-16
Long-run Economic,Full-Time Equivalent Jobs,-5.82E-08
Conventional Revenue,2022,25.07
Conventional Revenue,2023,26.44
Conventional Revenue,2024,27.11
Conventional Revenue,2025,28.66
Conventional Revenue,2026,0
Conventional Revenue,2027,0
Conventional Revenue,2028,0
Conventional Revenue,2029,0
Conventional Revenue,2030,0
Conventional Revenue,2031,0
Conventional Revenue,2022 - 2031,107.29
Dynamic Revenue,2022,20.3
Dynamic Revenue,2023,21.11
Dynamic Revenue,2024,21.44
Dynamic Revenue,2025,22.58
Dynamic Revenue,2026,0
Dynamic Revenue,2027,0
Dynamic Revenue,2028,0
Dynamic Revenue,2029,0
Dynamic Revenue,2030,0
Dynamic Revenue,2031,0
Dynamic Revenue,2022 - 2031,85.43
2022 Conventional Distribution,0% - 20.0%,0
2022 Conventional Distribution,20.0% - 40.0%,0
2022 Conventional Distribution,40.0% - 60.0%,0
2022 Conventional Distribution,60.0% - 80.0%,0
2022 Conventional Distribution,80.0% - 100%,-0.0034
2022 Conventional Distribution,80.0% - 90.0%,0
2022 Conventional Distribution,90.0% - 95.0%,0
2022 Conventional Distribution,95.0% - 99.0%,-0.001
2022 Conventional Distribution,99.0% - 100%,-0.0124
2022 Conventional Distribution,TOTAL FOR ALL,-0.0019
2031 Conventional Distribution,0% - 20.0%,0
2031 Conventional Distribution,20.0% - 40.0%,0
2031 Conventional Distribution,40.0% - 60.0%,0
2031 Conventional Distribution,60.0% - 80.0%,0
2031 Conventional Distribution,80.0% - 100%,0
2031 Conventional Distribution,80.0% - 90.0%,0
2031 Conventional Distribution,90.0% - 95.0%,0
2031 Conventional Distribution,95.0% - 99.0%,0
2031 Conventional Distribution,99.0% - 100%,0
2031 Conventional Distribution,TOTAL FOR ALL,0
Long-run Dynamic Distribution,0% - 20.0%,0
Long-run Dynamic Distribution,20.0% - 40.0%,0
Long-run Dynamic Distribution,40.0% - 60.0%,0
Long-run Dynamic Distribution,60.0% - 80.0%,0
Long-run Dynamic Distribution,80.0% - 100%,0
Long-run Dynamic Distribution,80.0% - 90.0%,0
Long-run Dynamic Distribution,90.0% - 95.0%,0
Long-run Dynamic Distribution,95.0% - 99.0%,0
Long-run Dynamic Distribution,99.0% - 100%,0
Long-run Dynamic Distribution,TOTAL FOR ALL,0
