Indicator,Sub-indicator,Value
Long-run Economic,GDP,-0.0020312841815323672
Long-run Economic,GNP,-0.002260794699169081
Long-run Economic,Capital Stock,-0.002777891139131526
Long-run Economic,Wage Rate,-0.0005790147256835163
Long-run Economic,Full-Time Equivalent Jobs,-165888.33783679001
Conventional Revenue,2022,60.61
Conventional Revenue,2023,63.88
Conventional Revenue,2024,71.56
Conventional Revenue,2025,69.88
Conventional Revenue,2026,44.51
Conventional Revenue,2027,48.76
Conventional Revenue,2028,50.87
Conventional Revenue,2029,52.96
Conventional Revenue,2030,55.05
Conventional Revenue,2031,58.15
Conventional Revenue,2022 - 2031,576.22
Dynamic Revenue,2022,49.08
Dynamic Revenue,2023,51.01
Dynamic Revenue,2024,56.22
Dynamic Revenue,2025,54.8
Dynamic Revenue,2026,33.55
Dynamic Revenue,2027,36.54
Dynamic Revenue,2028,37.85
Dynamic Revenue,2029,39.14
Dynamic Revenue,2030,40.39
Dynamic Revenue,2031,42.48
Dynamic Revenue,2022 - 2031,441.05
2022 Conventional Distribution,0% - 20.0%,0.0
2022 Conventional Distribution,20.0% - 40.0%,0.0
2022 Conventional Distribution,40.0% - 60.0%,0.0
2022 Conventional Distribution,60.0% - 80.0%,0.0
2022 Conventional Distribution,80.0% - 100%,-0.008199999999999999
2022 Conventional Distribution,80.0% - 90.0%,0.0
2022 Conventional Distribution,90.0% - 95.0%,0.0
2022 Conventional Distribution,95.0% - 99.0%,0.0001
2022 Conventional Distribution,99.0% - 100%,-0.0297
2022 Conventional Distribution,TOTAL FOR ALL,-0.0046
2031 Conventional Distribution,0% - 20.0%,0.0
2031 Conventional Distribution,20.0% - 40.0%,0.0
2031 Conventional Distribution,40.0% - 60.0%,0.0
2031 Conventional Distribution,60.0% - 80.0%,0.0
2031 Conventional Distribution,80.0% - 100%,-0.0052
2031 Conventional Distribution,80.0% - 90.0%,0.0
2031 Conventional Distribution,90.0% - 95.0%,0.0
2031 Conventional Distribution,95.0% - 99.0%,0.0
2031 Conventional Distribution,99.0% - 100%,-0.0191
2031 Conventional Distribution,TOTAL FOR ALL,-0.0029
Long-run Dynamic Distribution,0% - 20.0%,-0.0018
Long-run Dynamic Distribution,20.0% - 40.0%,-0.0019
Long-run Dynamic Distribution,40.0% - 60.0%,-0.0018
Long-run Dynamic Distribution,60.0% - 80.0%,-0.0017000000000000001
Long-run Dynamic Distribution,80.0% - 100%,-0.0068000000000000005
Long-run Dynamic Distribution,80.0% - 90.0%,-0.0017000000000000001
Long-run Dynamic Distribution,90.0% - 95.0%,-0.0017000000000000001
Long-run Dynamic Distribution,95.0% - 99.0%,-0.0016
Long-run Dynamic Distribution,99.0% - 100%,-0.0207
Long-run Dynamic Distribution,TOTAL FOR ALL,-0.0046
