Indicator,Sub-indicator,Value
Long-run Economic,GDP,-0.0010792701844909707
Long-run Economic,GNP,-0.0011315429390706504
Long-run Economic,Capital Stock,-0.0016687628367311367
Long-run Economic,Wage Rate,-0.00028871659202040466
Long-run Economic,Full-Time Equivalent Jobs,-90202.40906065737
Conventional Revenue,2022,44.66
Conventional Revenue,2023,46.65
Conventional Revenue,2024,48.28
Conventional Revenue,2025,50.95
Conventional Revenue,2026,79.63
Conventional Revenue,2027,87.68
Conventional Revenue,2028,91.27
Conventional Revenue,2029,95.08
Conventional Revenue,2030,98.83
Conventional Revenue,2031,104.37
Conventional Revenue,2022 - 2031,747.4
Dynamic Revenue,2022,42.49
Dynamic Revenue,2023,44.1
Dynamic Revenue,2024,45.42
Dynamic Revenue,2025,47.77
Dynamic Revenue,2026,73.79
Dynamic Revenue,2027,81.2
Dynamic Revenue,2028,84.44
Dynamic Revenue,2029,87.93
Dynamic Revenue,2030,91.2
Dynamic Revenue,2031,96.19
Dynamic Revenue,2022 - 2031,694.52
2022 Conventional Distribution,0% - 20.0%,-0.0
2022 Conventional Distribution,20.0% - 40.0%,-0.0001
2022 Conventional Distribution,40.0% - 60.0%,-0.0002
2022 Conventional Distribution,60.0% - 80.0%,-0.0008
2022 Conventional Distribution,80.0% - 100%,-0.005699999999999999
2022 Conventional Distribution,80.0% - 90.0%,-0.0019
2022 Conventional Distribution,90.0% - 95.0%,-0.0031
2022 Conventional Distribution,95.0% - 99.0%,-0.005
2022 Conventional Distribution,99.0% - 100%,-0.0121
2022 Conventional Distribution,TOTAL FOR ALL,-0.0034000000000000002
2031 Conventional Distribution,0% - 20.0%,0.0
2031 Conventional Distribution,20.0% - 40.0%,-0.0003
2031 Conventional Distribution,40.0% - 60.0%,-0.0011
2031 Conventional Distribution,60.0% - 80.0%,-0.0024
2031 Conventional Distribution,80.0% - 100%,-0.0083
2031 Conventional Distribution,80.0% - 90.0%,-0.004699999999999999
2031 Conventional Distribution,90.0% - 95.0%,-0.0064
2031 Conventional Distribution,95.0% - 99.0%,-0.0084
2031 Conventional Distribution,99.0% - 100%,-0.013500000000000002
2031 Conventional Distribution,TOTAL FOR ALL,-0.0053
Long-run Dynamic Distribution,0% - 20.0%,-0.001
Long-run Dynamic Distribution,20.0% - 40.0%,-0.0013
Long-run Dynamic Distribution,40.0% - 60.0%,-0.0021
Long-run Dynamic Distribution,60.0% - 80.0%,-0.0033
Long-run Dynamic Distribution,80.0% - 100%,-0.009300000000000001
Long-run Dynamic Distribution,80.0% - 90.0%,-0.005600000000000001
Long-run Dynamic Distribution,90.0% - 95.0%,-0.0073
Long-run Dynamic Distribution,95.0% - 99.0%,-0.009399999999999999
Long-run Dynamic Distribution,99.0% - 100%,-0.0144
Long-run Dynamic Distribution,TOTAL FOR ALL,-0.0063
