Indicator,Sub-indicator,Value
Long-run Economic,GDP,-0.00010679897042771519
Long-run Economic,GNP,-0.00012436248568703506
Long-run Economic,Capital Stock,-0.00013807254319705593
Long-run Economic,Wage Rate,-2.4734457076849396e-05
Long-run Economic,Full-Time Equivalent Jobs,-9346.500318381004
Conventional Revenue,2022,1.58
Conventional Revenue,2023,1.65
Conventional Revenue,2024,1.72
Conventional Revenue,2025,1.81
Conventional Revenue,2026,2.03
Conventional Revenue,2027,2.14
Conventional Revenue,2028,2.2
Conventional Revenue,2029,2.29
Conventional Revenue,2030,2.38
Conventional Revenue,2031,2.54
Conventional Revenue,2022 - 2031,20.33
Dynamic Revenue,2022,1.46
Dynamic Revenue,2023,1.51
Dynamic Revenue,2024,1.57
Dynamic Revenue,2025,1.65
Dynamic Revenue,2026,1.84
Dynamic Revenue,2027,1.95
Dynamic Revenue,2028,2.0
Dynamic Revenue,2029,2.08
Dynamic Revenue,2030,2.15
Dynamic Revenue,2031,2.28
Dynamic Revenue,2022 - 2031,18.5
2022 Conventional Distribution,0% - 20.0%,0.0
2022 Conventional Distribution,20.0% - 40.0%,0.0
2022 Conventional Distribution,40.0% - 60.0%,0.0
2022 Conventional Distribution,60.0% - 80.0%,0.0
2022 Conventional Distribution,80.0% - 100%,-0.0002
2022 Conventional Distribution,80.0% - 90.0%,0.0
2022 Conventional Distribution,90.0% - 95.0%,0.0
2022 Conventional Distribution,95.0% - 99.0%,0.0
2022 Conventional Distribution,99.0% - 100%,-0.0008
2022 Conventional Distribution,TOTAL FOR ALL,-0.0001
2031 Conventional Distribution,0% - 20.0%,0.0
2031 Conventional Distribution,20.0% - 40.0%,0.0
2031 Conventional Distribution,40.0% - 60.0%,0.0
2031 Conventional Distribution,60.0% - 80.0%,0.0
2031 Conventional Distribution,80.0% - 100%,-0.0002
2031 Conventional Distribution,80.0% - 90.0%,0.0
2031 Conventional Distribution,90.0% - 95.0%,0.0
2031 Conventional Distribution,95.0% - 99.0%,0.0
2031 Conventional Distribution,99.0% - 100%,-0.0009
2031 Conventional Distribution,TOTAL FOR ALL,-0.0001
Long-run Dynamic Distribution,0% - 20.0%,0.0
Long-run Dynamic Distribution,20.0% - 40.0%,0.0
Long-run Dynamic Distribution,40.0% - 60.0%,0.0
Long-run Dynamic Distribution,60.0% - 80.0%,0.0
Long-run Dynamic Distribution,80.0% - 100%,-0.0002
Long-run Dynamic Distribution,80.0% - 90.0%,0.0
Long-run Dynamic Distribution,90.0% - 95.0%,0.0
Long-run Dynamic Distribution,95.0% - 99.0%,0.0
Long-run Dynamic Distribution,99.0% - 100%,-0.0009
Long-run Dynamic Distribution,TOTAL FOR ALL,-0.0001
