Indicator,Sub-indicator,Value,,,,,,,,,,,,,
Long-run Economic,GDP,-0.000977156,,,,,,,,,,,,,
Long-run Economic,GNP,-0.000926497,,,,,,,,,,,,,
Long-run Economic,Capital Stock,-0.001877205,,,,,,,,,,,,,
Long-run Economic,Wage Rate,-0.000853066,,,,,,,,,,,,,
Long-run Economic,Full-Time Equivalent Jobs,-16422.92185,,,,,,,,,,,,,
Conventional Revenue,2022,$9.60 ,,,,,,,,,,,,,
Conventional Revenue,2023,$11.90 ,,,,,,,,,,,,,
Conventional Revenue,2024,$13.10 ,,,,,,,,,,,,,
Conventional Revenue,2025,$14.30 ,,,,,,,,,,,,,
Conventional Revenue,2026,$14.50 ,,,,,,,,,,,,,
Conventional Revenue,2027,$14.70 ,,,,,,,,,,,,,
Conventional Revenue,2028,$15.20 ,,,,,,,,,,,,,
Conventional Revenue,2029,$15.60 ,,,,,,,,,,,,,
Conventional Revenue,2030,$15.90 ,,,,,,,,,,,,,
Conventional Revenue,2031,$16.30 ,,,,,,,,,,,,,
Conventional Revenue,2022 - 2031,$141.10 ,,,,,,,,,,,,,
Dynamic Revenue,2022,$9.50 ,,,,,,,,,,,,,
Dynamic Revenue,2023,$11.60 ,,,,,,,,,,,,,
Dynamic Revenue,2024,$12.70 ,,,,,,,,,,,,,
Dynamic Revenue,2025,$13.70 ,,,,,,,,,,,,,
Dynamic Revenue,2026,$13.70 ,,,,,,,,,,,,,
Dynamic Revenue,2027,$11.70 ,,,,,,,,,,,,,
Dynamic Revenue,2028,$11.70 ,,,,,,,,,,,,,
Dynamic Revenue,2029,$11.60 ,,,,,,,,,,,,,
Dynamic Revenue,2030,$11.50 ,,,,,,,,,,,,,
Dynamic Revenue,2031,$11.30 ,,,,,,,,,,,,,
Dynamic Revenue,2022 - 2031,$119.00 ,,,,,,,,,,,,,
2022 Conventional Distribution,0% - 20.0%,-0.0008,,,,,,,,,,,,,
2022 Conventional Distribution,20.0% - 40.0%,-0.0006,,,,,,,,,,,,,
2022 Conventional Distribution,40.0% - 60.0%,-0.0007,,,,,,,,,,,,,
2022 Conventional Distribution,60.0% - 80.0%,-0.0007,,,,,,,,,,,,,
2022 Conventional Distribution,80.0% - 100%,-0.0013,,,,,,,,,,,,,
2022 Conventional Distribution,80.0% - 90.0%,-0.0007,,,,,,,,,,,,,
2022 Conventional Distribution,90.0% - 95.0%,-0.0009,,,,,,,,,,,,,
2022 Conventional Distribution,95.0% - 99.0%,-0.0012,,,,,,,,,,,,,
2022 Conventional Distribution,99.0% - 100%,-0.0023,,,,,,,,,,,,,
2022 Conventional Distribution,TOTAL FOR ALL,-0.001,,,,,,,,,,,,,
2031 Conventional Distribution,0% - 20.0%,-0.0009,,,,,,,,,,,,,
2031 Conventional Distribution,20.0% - 40.0%,-0.0007,,,,,,,,,,,,,
2031 Conventional Distribution,40.0% - 60.0%,-0.0008,,,,,,,,,,,,,
2031 Conventional Distribution,60.0% - 80.0%,-0.0008,,,,,,,,,,,,,
2031 Conventional Distribution,80.0% - 100%,-0.0015,,,,,,,,,,,,,
2031 Conventional Distribution,80.0% - 90.0%,-0.0009,,,,,,,,,,,,,
2031 Conventional Distribution,90.0% - 95.0%,-0.001,,,,,,,,,,,,,
2031 Conventional Distribution,95.0% - 99.0%,-0.0014,,,,,,,,,,,,,
2031 Conventional Distribution,99.0% - 100%,-0.0027,,,,,,,,,,,,,
2031 Conventional Distribution,TOTAL FOR ALL,-0.0012,,,,,,,,,,,,,
Long-run Dynamic Distribution,0% - 20.0%,-0.0021,,,,,,,,,,,,,
Long-run Dynamic Distribution,20.0% - 40.0%,-0.0018,,,,,,,,,,,,,
Long-run Dynamic Distribution,40.0% - 60.0%,-0.002,,,,,,,,,,,,,
Long-run Dynamic Distribution,60.0% - 80.0%,-0.002,,,,,,,,,,,,,
Long-run Dynamic Distribution,80.0% - 100%,-0.003,,,,,,,,,,,,,
Long-run Dynamic Distribution,80.0% - 90.0%,-0.002,,,,,,,,,,,,,
Long-run Dynamic Distribution,90.0% - 95.0%,-0.0023,,,,,,,,,,,,,
Long-run Dynamic Distribution,95.0% - 99.0%,-0.0028,,,,,,,,,,,,,
Long-run Dynamic Distribution,99.0% - 100%,-0.0046,,,,,,,,,,,,,
Long-run Dynamic Distribution,TOTAL FOR ALL,-0.0025,,,,,,,,,,,,,
