Indicator,Sub-indicator,Value
Long-run Economic,GDP,-0.002270191
Long-run Economic,GNP,-0.004276137
Long-run Economic,Capital Stock,-0.006102085
Long-run Economic,Wage Rate,-0.001952768
Long-run Economic,Full-Time Equivalent Jobs,-41414.99742
Conventional Revenue,2022,13.7
Conventional Revenue,2023,96.4
Conventional Revenue,2024,101.2
Conventional Revenue,2025,106.0
Conventional Revenue,2026,110.8
Conventional Revenue,2027,76.2
Conventional Revenue,2028,85.1
Conventional Revenue,2029,91.9
Conventional Revenue,2030,98.6
Conventional Revenue,2031,107.5
Conventional Revenue,2022 - 2031,887.4
Dynamic Revenue,2022,13.7
Dynamic Revenue,2023,93.8
Dynamic Revenue,2024,97.4
Dynamic Revenue,2025,101.0
Dynamic Revenue,2026,105.2
Dynamic Revenue,2027,69.3
Dynamic Revenue,2028,77.0
Dynamic Revenue,2029,82.6
Dynamic Revenue,2030,88.1
Dynamic Revenue,2031,95.7
Dynamic Revenue,2022 - 2031,823.9
2022 Conventional Distribution,0% - 20.0%,0
2022 Conventional Distribution,20.0% - 40.0%,0
2022 Conventional Distribution,40.0% - 60.0%,0
2022 Conventional Distribution,60.0% - 80.0%,0
2022 Conventional Distribution,80.0% - 100%,-0.002535027
2022 Conventional Distribution,80.0% - 90.0%,0
2022 Conventional Distribution,90.0% - 95.0%,0
2022 Conventional Distribution,95.0% - 99.0%,-0.00050781
2022 Conventional Distribution,99.0% - 100%,-0.008741423
2022 Conventional Distribution,TOTAL FOR ALL,-0.001414473
2031 Conventional Distribution,0% - 20.0%,0
2031 Conventional Distribution,20.0% - 40.0%,0
2031 Conventional Distribution,40.0% - 60.0%,0
2031 Conventional Distribution,60.0% - 80.0%,0
2031 Conventional Distribution,80.0% - 100%,-0.016926918
2031 Conventional Distribution,80.0% - 90.0%,0
2031 Conventional Distribution,90.0% - 95.0%,0
2031 Conventional Distribution,95.0% - 99.0%,-0.003417431
2031 Conventional Distribution,99.0% - 100%,-0.059194038
2031 Conventional Distribution,TOTAL FOR ALL,-0.009382204
Long-run Dynamic Distribution,0% - 20.0%,-0.0021
Long-run Dynamic Distribution,20.0% - 40.0%,-0.0021
Long-run Dynamic Distribution,40.0% - 60.0%,-0.002
Long-run Dynamic Distribution,60.0% - 80.0%,-0.002
Long-run Dynamic Distribution,80.0% - 100%,-0.016968011
Long-run Dynamic Distribution,80.0% - 90.0%,-0.002
Long-run Dynamic Distribution,90.0% - 95.0%,-0.002
Long-run Dynamic Distribution,95.0% - 99.0%,-0.00504213
Long-run Dynamic Distribution,99.0% - 100%,-0.054693372
Long-run Dynamic Distribution,TOTAL FOR ALL,-0.008351854
