Indicator,Sub-indicator,Value
Long-run Economic,GDP,-0.00014
Long-run Economic,GNP,-0.00014
Long-run Economic,Capital Stock,-0.00019
Long-run Economic,Wage Rate,-0.00001
Long-run Economic,Full-Time Equivalent Jobs,-14698
Conventional Revenue,2022,-5.5
Conventional Revenue,2023,-5.3
Conventional Revenue,2024,-5.0
Conventional Revenue,2025,-5.3
Conventional Revenue,2026,-3.1
Conventional Revenue,2027,-2.9
Conventional Revenue,2028,-2.7
Conventional Revenue,2029,-2.6
Conventional Revenue,2030,-2.4
Conventional Revenue,2031,-2.3
Conventional Revenue,2022 - 2031,-37.0
Dynamic Revenue,2022,-6.2
Dynamic Revenue,2023,-6.0
Dynamic Revenue,2024,-5.8
Dynamic Revenue,2025,-6.0
Dynamic Revenue,2026,-3.8
Dynamic Revenue,2027,-3.6
Dynamic Revenue,2028,-3.4
Dynamic Revenue,2029,-3.2
Dynamic Revenue,2030,-3.1
Dynamic Revenue,2031,-2.8
Dynamic Revenue,2022 - 2031,-43.9
2022 Conventional Distribution,0% - 20.0%,0.019653333
2022 Conventional Distribution,20.0% - 40.0%,0.001173333
2022 Conventional Distribution,40.0% - 60.0%,0
2022 Conventional Distribution,60.0% - 80.0%,0
2022 Conventional Distribution,80.0% - 100%,0
2022 Conventional Distribution,80.0% - 90.0%,0
2022 Conventional Distribution,90.0% - 95.0%,0
2022 Conventional Distribution,95.0% - 99.0%,0
2022 Conventional Distribution,99.0% - 100%,0
2022 Conventional Distribution,TOTAL FOR ALL,0.000586667
2031 Conventional Distribution,0% - 20.0%,0.006746667
2031 Conventional Distribution,20.0% - 40.0%,0.000293333
2031 Conventional Distribution,40.0% - 60.0%,0
2031 Conventional Distribution,60.0% - 80.0%,0
2031 Conventional Distribution,80.0% - 100%,0
2031 Conventional Distribution,80.0% - 90.0%,0
2031 Conventional Distribution,90.0% - 95.0%,0
2031 Conventional Distribution,95.0% - 99.0%,0
2031 Conventional Distribution,99.0% - 100%,0
2031 Conventional Distribution,TOTAL FOR ALL,0.000293333
Long-run Dynamic Distribution,0% - 20.0%,0.019653333
Long-run Dynamic Distribution,20.0% - 40.0%,0.001173333
Long-run Dynamic Distribution,40.0% - 60.0%,0
Long-run Dynamic Distribution,60.0% - 80.0%,0
Long-run Dynamic Distribution,80.0% - 100%,0
Long-run Dynamic Distribution,80.0% - 90.0%,0
Long-run Dynamic Distribution,90.0% - 95.0%,0
Long-run Dynamic Distribution,95.0% - 99.0%,0
Long-run Dynamic Distribution,99.0% - 100%,0
Long-run Dynamic Distribution,TOTAL FOR ALL,0.000586667
