Indicator,Sub-indicator,Value
Long-run Economic,GDP,0.00024875504907013616
Long-run Economic,GNP,0.0005488364897917586
Long-run Economic,Capital Stock,0.00045401718725187235
Long-run Economic,Wage Rate,0.00019585579626405953
Long-run Economic,Full-Time Equivalent Jobs,6525.500730698695
Conventional Revenue,2022,-13.07
Conventional Revenue,2023,-13.47
Conventional Revenue,2024,-13.77
Conventional Revenue,2025,-14.26
Conventional Revenue,2026,-14.15
Conventional Revenue,2027,-15.26
Conventional Revenue,2028,-15.73
Conventional Revenue,2029,-16.38
Conventional Revenue,2030,-17.03
Conventional Revenue,2031,-17.99
Conventional Revenue,2022 - 2031,-151.11
Dynamic Revenue,2022,-13.0
Dynamic Revenue,2023,-13.36
Dynamic Revenue,2024,-13.62
Dynamic Revenue,2025,-14.06
Dynamic Revenue,2026,-13.94
Dynamic Revenue,2027,-15.01
Dynamic Revenue,2028,-15.44
Dynamic Revenue,2029,-16.05
Dynamic Revenue,2030,-16.66
Dynamic Revenue,2031,-17.58
Dynamic Revenue,2022 - 2031,-148.73
2022 Conventional Distribution,0% - 20.0%,0.0
2022 Conventional Distribution,20.0% - 40.0%,0.0
2022 Conventional Distribution,40.0% - 60.0%,0.0
2022 Conventional Distribution,60.0% - 80.0%,0.0
2022 Conventional Distribution,80.0% - 100%,0.0018
2022 Conventional Distribution,80.0% - 90.0%,0.0
2022 Conventional Distribution,90.0% - 95.0%,0.0
2022 Conventional Distribution,95.0% - 99.0%,0.0
2022 Conventional Distribution,99.0% - 100%,0.006500000000000001
2022 Conventional Distribution,TOTAL FOR ALL,0.001
2031 Conventional Distribution,0% - 20.0%,0.0
2031 Conventional Distribution,20.0% - 40.0%,0.0
2031 Conventional Distribution,40.0% - 60.0%,0.0
2031 Conventional Distribution,60.0% - 80.0%,0.0
2031 Conventional Distribution,80.0% - 100%,0.0016
2031 Conventional Distribution,80.0% - 90.0%,0.0
2031 Conventional Distribution,90.0% - 95.0%,0.0
2031 Conventional Distribution,95.0% - 99.0%,0.0001
2031 Conventional Distribution,99.0% - 100%,0.006
2031 Conventional Distribution,TOTAL FOR ALL,0.0009
Long-run Dynamic Distribution,0% - 20.0%,0.0
Long-run Dynamic Distribution,20.0% - 40.0%,0.0
Long-run Dynamic Distribution,40.0% - 60.0%,0.0
Long-run Dynamic Distribution,60.0% - 80.0%,0.0
Long-run Dynamic Distribution,80.0% - 100%,0.0016
Long-run Dynamic Distribution,80.0% - 90.0%,0.0
Long-run Dynamic Distribution,90.0% - 95.0%,0.0
Long-run Dynamic Distribution,95.0% - 99.0%,0.0001
Long-run Dynamic Distribution,99.0% - 100%,0.006
Long-run Dynamic Distribution,TOTAL FOR ALL,0.0009
