Indicator,Sub-indicator,Value
Long-run Economic,GDP,-0.001
Long-run Economic,GNP,-0.001
Long-run Economic,Capital Stock,0
Long-run Economic,Wage Rate,0
Long-run Economic,Full-Time Equivalent Jobs,-113171
Conventional Revenue,2022,-13.75
Conventional Revenue,2023,-14.47
Conventional Revenue,2024,-15
Conventional Revenue,2025,-15.83
Conventional Revenue,2026,-48.46
Conventional Revenue,2027,-53.18
Conventional Revenue,2028,-55.21
Conventional Revenue,2029,-57.32
Conventional Revenue,2030,-59.31
Conventional Revenue,2031,-62.55
Conventional Revenue,2022 - 2031,-395.08
Dynamic Revenue,2022,-14.07
Dynamic Revenue,2023,-14.86
Dynamic Revenue,2024,-15.44
Dynamic Revenue,2025,-16.3
Dynamic Revenue,2026,-54.55
Dynamic Revenue,2027,-59.59
Dynamic Revenue,2028,-61.75
Dynamic Revenue,2029,-63.92
Dynamic Revenue,2030,-66.1
Dynamic Revenue,2031,-69.58
Dynamic Revenue,2022 - 2031,-436.17
2022 Conventional Distribution,0% - 20.0%,0
2022 Conventional Distribution,20.0% - 40.0%,0
2022 Conventional Distribution,40.0% - 60.0%,0
2022 Conventional Distribution,60.0% - 80.0%,0
2022 Conventional Distribution,80.0% - 100%,0.002
2022 Conventional Distribution,80.0% - 90.0%,0
2022 Conventional Distribution,90.0% - 95.0%,0
2022 Conventional Distribution,95.0% - 99.0%,0.001
2022 Conventional Distribution,99.0% - 100%,0.006
2022 Conventional Distribution,TOTAL FOR ALL,0.001
2031 Conventional Distribution,0% - 20.0%,0
2031 Conventional Distribution,20.0% - 40.0%,0
2031 Conventional Distribution,40.0% - 60.0%,0
2031 Conventional Distribution,60.0% - 80.0%,0
2031 Conventional Distribution,80.0% - 100%,0.006
2031 Conventional Distribution,80.0% - 90.0%,0
2031 Conventional Distribution,90.0% - 95.0%,0.001
2031 Conventional Distribution,95.0% - 99.0%,0.011
2031 Conventional Distribution,99.0% - 100%,0.01
2031 Conventional Distribution,TOTAL FOR ALL,0.003
Long-run Dynamic Distribution,0% - 20.0%,-0.001
Long-run Dynamic Distribution,20.0% - 40.0%,-0.001
Long-run Dynamic Distribution,40.0% - 60.0%,-0.001
Long-run Dynamic Distribution,60.0% - 80.0%,-0.001
Long-run Dynamic Distribution,80.0% - 100%,0.005
Long-run Dynamic Distribution,80.0% - 90.0%,0
Long-run Dynamic Distribution,90.0% - 95.0%,0.001
Long-run Dynamic Distribution,95.0% - 99.0%,0.011
Long-run Dynamic Distribution,99.0% - 100%,0.009
Long-run Dynamic Distribution,TOTAL FOR ALL,0.003
