Indicator,Sub-indicator,Value
Long-run Economic,GDP,0.000436325
Long-run Economic,GNP,0.000936657
Long-run Economic,Capital Stock,0.00110356
Long-run Economic,Wage Rate,0.000367703
Long-run Economic,Full-Time Equivalent Jobs,8780.641767
Conventional Revenue,2022,-22.34
Conventional Revenue,2023,-23.46
Conventional Revenue,2024,-24.28
Conventional Revenue,2025,-25.58
Conventional Revenue,2026,-25.44
Conventional Revenue,2027,-28.01
Conventional Revenue,2028,-29.09
Conventional Revenue,2029,-30.58
Conventional Revenue,2030,-32.09
Conventional Revenue,2031,-34.21
Conventional Revenue,2022 - 2031,-275.07
Dynamic Revenue,2022,-22.27
Dynamic Revenue,2023,-23.31
Dynamic Revenue,2024,-24.07
Dynamic Revenue,2025,-25.29
Dynamic Revenue,2026,-25.1
Dynamic Revenue,2027,-27.59
Dynamic Revenue,2028,-28.59
Dynamic Revenue,2029,-30.01
Dynamic Revenue,2030,-31.44
Dynamic Revenue,2031,-33.48
Dynamic Revenue,2022 - 2031,-271.17
2022 Conventional Distribution,0% - 20.0%,0
2022 Conventional Distribution,20.0% - 40.0%,0
2022 Conventional Distribution,40.0% - 60.0%,0
2022 Conventional Distribution,60.0% - 80.0%,0
2022 Conventional Distribution,80.0% - 100%,0.0031
2022 Conventional Distribution,80.0% - 90.0%,0
2022 Conventional Distribution,90.0% - 95.0%,0
2022 Conventional Distribution,95.0% - 99.0%,0.002
2022 Conventional Distribution,99.0% - 100%,0.0093
2022 Conventional Distribution,TOTAL FOR ALL,0.0017
2031 Conventional Distribution,0% - 20.0%,0
2031 Conventional Distribution,20.0% - 40.0%,0
2031 Conventional Distribution,40.0% - 60.0%,0
2031 Conventional Distribution,60.0% - 80.0%,0
2031 Conventional Distribution,80.0% - 100%,0.0032
2031 Conventional Distribution,80.0% - 90.0%,0
2031 Conventional Distribution,90.0% - 95.0%,0
2031 Conventional Distribution,95.0% - 99.0%,0.0025
2031 Conventional Distribution,99.0% - 100%,0.0092
2031 Conventional Distribution,TOTAL FOR ALL,0.0017
Long-run Dynamic Distribution,0% - 20.0%,0.0004
Long-run Dynamic Distribution,20.0% - 40.0%,0.0004
Long-run Dynamic Distribution,40.0% - 60.0%,0.0004
Long-run Dynamic Distribution,60.0% - 80.0%,0.0004
Long-run Dynamic Distribution,80.0% - 100%,0.0035
Long-run Dynamic Distribution,80.0% - 90.0%,0.0004
Long-run Dynamic Distribution,90.0% - 95.0%,0.0006
Long-run Dynamic Distribution,95.0% - 99.0%,0.0029
Long-run Dynamic Distribution,99.0% - 100%,0.0096
Long-run Dynamic Distribution,TOTAL FOR ALL,0.0021
