Indicator,Sub-indicator,Value
Long-run Economic,GDP,0.022534361
Long-run Economic,GNP,0.019034184
Long-run Economic,Capital Stock,0.043219115
Long-run Economic,Wage Rate,0.019021838
Long-run Economic,Full-Time Equivalent Jobs,441769.2362
Conventional Revenue,2022,-142.82
Conventional Revenue,2023,-156.55
Conventional Revenue,2024,-166.75
Conventional Revenue,2025,-181.95
Conventional Revenue,2026,-190.46
Conventional Revenue,2027,-202.34
Conventional Revenue,2028,-183.72
Conventional Revenue,2029,-169.86
Conventional Revenue,2030,-159.53
Conventional Revenue,2031,-153.43
Conventional Revenue,2022 - 2031,-1707.41
Dynamic Revenue,2022,-136.26
Dynamic Revenue,2023,-142.44
Dynamic Revenue,2024,-144.26
Dynamic Revenue,2025,-149.34
Dynamic Revenue,2026,-143.12
Dynamic Revenue,2027,-141
Dynamic Revenue,2028,-111.45
Dynamic Revenue,2029,-86.41
Dynamic Revenue,2030,-65.19
Dynamic Revenue,2031,-47.19
Dynamic Revenue,2022 - 2031,-1166.66
2022 Conventional Distribution,0% - 20.0%,0.0052
2022 Conventional Distribution,20.0% - 40.0%,0.0038
2022 Conventional Distribution,40.0% - 60.0%,0.004
2022 Conventional Distribution,60.0% - 80.0%,0.0043
2022 Conventional Distribution,80.0% - 100%,0.0173
2022 Conventional Distribution,80.0% - 90.0%,0.0049
2022 Conventional Distribution,90.0% - 95.0%,0.007
2022 Conventional Distribution,95.0% - 99.0%,0.0138
2022 Conventional Distribution,99.0% - 100%,0.0403
2022 Conventional Distribution,TOTAL FOR ALL,0.0115
2031 Conventional Distribution,0% - 20.0%,0.0038
2031 Conventional Distribution,20.0% - 40.0%,0.0028
2031 Conventional Distribution,40.0% - 60.0%,0.003
2031 Conventional Distribution,60.0% - 80.0%,0.0033
2031 Conventional Distribution,80.0% - 100%,0.0127
2031 Conventional Distribution,80.0% - 90.0%,0.0037
2031 Conventional Distribution,90.0% - 95.0%,0.0055
2031 Conventional Distribution,95.0% - 99.0%,0.011
2031 Conventional Distribution,99.0% - 100%,0.0288
2031 Conventional Distribution,TOTAL FOR ALL,0.0085
Long-run Dynamic Distribution,0% - 20.0%,0.0213
Long-run Dynamic Distribution,20.0% - 40.0%,0.022
Long-run Dynamic Distribution,40.0% - 60.0%,0.0221
Long-run Dynamic Distribution,60.0% - 80.0%,0.0214
Long-run Dynamic Distribution,80.0% - 100%,0.0291
Long-run Dynamic Distribution,80.0% - 90.0%,0.0214
Long-run Dynamic Distribution,90.0% - 95.0%,0.0232
Long-run Dynamic Distribution,95.0% - 99.0%,0.0278
Long-run Dynamic Distribution,99.0% - 100%,0.0426
Long-run Dynamic Distribution,TOTAL FOR ALL,0.0256
