Indicator,Sub-indicator,Value
Long-run Economic,GDP,0.000968741
Long-run Economic,GNP,0.00047807
Long-run Economic,Capital Stock,0.001850324
Long-run Economic,Wage Rate,0.000822324
Long-run Economic,Full-Time Equivalent Jobs,18831.76378
Conventional Revenue,2022,-1.69
Conventional Revenue,2023,-5.99
Conventional Revenue,2024,-7.75
Conventional Revenue,2025,-6.34
Conventional Revenue,2026,-6.62
Conventional Revenue,2027,-6.91
Conventional Revenue,2028,-7.2
Conventional Revenue,2029,-7.48
Conventional Revenue,2030,-7.77
Conventional Revenue,2031,-8.09
Conventional Revenue,2022 - 2031,-65.84
Dynamic Revenue,2022,-1.54
Dynamic Revenue,2023,-5.66
Dynamic Revenue,2024,-7.26
Dynamic Revenue,2025,-5.68
Dynamic Revenue,2026,-5.8
Dynamic Revenue,2027,-5.93
Dynamic Revenue,2028,-3.83
Dynamic Revenue,2029,-3.57
Dynamic Revenue,2030,-3.41
Dynamic Revenue,2031,-3.21
Dynamic Revenue,2022 - 2031,-45.9
2022 Conventional Distribution,0% - 20.0%,0.01
2022 Conventional Distribution,20.0% - 40.0%,0.0001
2022 Conventional Distribution,40.0% - 60.0%,0.0001
2022 Conventional Distribution,60.0% - 80.0%,0.0001
2022 Conventional Distribution,80.0% - 100%,0.0002
2022 Conventional Distribution,80.0% - 90.0%,0.0001
2022 Conventional Distribution,90.0% - 95.0%,0.0001
2022 Conventional Distribution,95.0% - 99.0%,0.0002
2022 Conventional Distribution,99.0% - 100%,0.0003
2022 Conventional Distribution,TOTAL FOR ALL,0.0002
2031 Conventional Distribution,0% - 20.0%,0.06
2031 Conventional Distribution,20.0% - 40.0%,0.0004
2031 Conventional Distribution,40.0% - 60.0%,0.0005
2031 Conventional Distribution,60.0% - 80.0%,0.0005
2031 Conventional Distribution,80.0% - 100%,0.0010
2031 Conventional Distribution,80.0% - 90.0%,0.0006
2031 Conventional Distribution,90.0% - 95.0%,0.0007
2031 Conventional Distribution,95.0% - 99.0%,0.0009
2031 Conventional Distribution,99.0% - 100%,0.0017
2031 Conventional Distribution,TOTAL FOR ALL,0.0008
Long-run Dynamic Distribution,0% - 20.0%,0.0009
Long-run Dynamic Distribution,20.0% - 40.0%,0.0009
Long-run Dynamic Distribution,40.0% - 60.0%,0.0009
Long-run Dynamic Distribution,60.0% - 80.0%,0.0008
Long-run Dynamic Distribution,80.0% - 100%,0.0008
Long-run Dynamic Distribution,80.0% - 90.0%,0.0008
Long-run Dynamic Distribution,90.0% - 95.0%,0.0008
Long-run Dynamic Distribution,95.0% - 99.0%,0.0008
Long-run Dynamic Distribution,99.0% - 100%,0.0009
Long-run Dynamic Distribution,TOTAL FOR ALL,0.0008
