Indicator,Sub-indicator,Value,,,,,,,,,,,,,
Long-run Economic,GDP,-0.002,,,,,,,,,,,,,
Long-run Economic,GNP,-0.002,,,,,,,,,,,,,
Long-run Economic,Capital Stock,-0.004,,,,,,,,,,,,,
Long-run Economic,Wage Rate,-0.002,,,,,,,,,,,,,
Long-run Economic,Full-Time Equivalent Jobs,-33000,,,,,,,,,,,,,
Conventional Revenue,2022,114.6,,,,,,,,,,,,,
Conventional Revenue,2023,119.8,,,,,,,,,,,,,
Conventional Revenue,2024,126,,,,,,,,,,,,,
Conventional Revenue,2025,120.2,,,,,,,,,,,,,
Conventional Revenue,2026,83.1,,,,,,,,,,,,,
Conventional Revenue,2027,72.7,,,,,,,,,,,,,
Conventional Revenue,2028,78.9,,,,,,,,,,,,,
Conventional Revenue,2029,86.8,,,,,,,,,,,,,
Conventional Revenue,2030,90,,,,,,,,,,,,,
Conventional Revenue,2031,93.7,,,,,,,,,,,,,
Conventional Revenue,2022 - 2031,985.6,,,,,,,,,,,,,
Dynamic Revenue,2022,114.0138699,,,,,,,,,,,,,
Dynamic Revenue,2023,116.330576,,,,,,,,,,,,,
Dynamic Revenue,2024,120.561008,,,,,,,,,,,,,
Dynamic Revenue,2025,112.5213293,,,,,,,,,,,,,
Dynamic Revenue,2026,78.85118891,,,,,,,,,,,,,
Dynamic Revenue,2027,67.05601358,,,,,,,,,,,,,
Dynamic Revenue,2028,72.27836249,,,,,,,,,,,,,
Dynamic Revenue,2029,79.20959717,,,,,,,,,,,,,
Dynamic Revenue,2030,81.47467,,,,,,,,,,,,,
Dynamic Revenue,2031,84.13428973,,,,,,,,,,,,,
Dynamic Revenue,2022 - 2031,926.430905,,,,,,,,,,,,,
2022 Conventional Distribution,0% - 20.0%,-0.009,,,,,,,,,,,,,
2022 Conventional Distribution,20.0% - 40.0%,-0.007,,,,,,,,,,,,,
2022 Conventional Distribution,40.0% - 60.0%,-0.008,,,,,,,,,,,,,
2022 Conventional Distribution,60.0% - 80.0%,-0.008,,,,,,,,,,,,,
2022 Conventional Distribution,80.0% - 100%,-0.016,,,,,,,,,,,,,
2022 Conventional Distribution,80.0% - 90.0%,-0.009,,,,,,,,,,,,,
2022 Conventional Distribution,90.0% - 95.0%,-0.01,,,,,,,,,,,,,
2022 Conventional Distribution,95.0% - 99.0%,-0.014,,,,,,,,,,,,,
2022 Conventional Distribution,99.0% - 100%,-0.027,,,,,,,,,,,,,
2022 Conventional Distribution,TOTAL FOR ALL,-0.012,,,,,,,,,,,,,
2031 Conventional Distribution,0% - 20.0%,-0.007,,,,,,,,,,,,,
2031 Conventional Distribution,20.0% - 40.0%,-0.006,,,,,,,,,,,,,
2031 Conventional Distribution,40.0% - 60.0%,-0.006,,,,,,,,,,,,,
2031 Conventional Distribution,60.0% - 80.0%,-0.006,,,,,,,,,,,,,
2031 Conventional Distribution,80.0% - 100%,-0.012,,,,,,,,,,,,,
2031 Conventional Distribution,80.0% - 90.0%,-0.007,,,,,,,,,,,,,
2031 Conventional Distribution,90.0% - 95.0%,-0.008,,,,,,,,,,,,,
2031 Conventional Distribution,95.0% - 99.0%,-0.011,,,,,,,,,,,,,
2031 Conventional Distribution,99.0% - 100%,-0.021,,,,,,,,,,,,,
2031 Conventional Distribution,TOTAL FOR ALL,-0.01,,,,,,,,,,,,,
Long-run Dynamic Distribution,0% - 20.0%,-0.011,,,,,,,,,,,,,
Long-run Dynamic Distribution,20.0% - 40.0%,-0.009,,,,,,,,,,,,,
Long-run Dynamic Distribution,40.0% - 60.0%,-0.01,,,,,,,,,,,,,
Long-run Dynamic Distribution,60.0% - 80.0%,-0.01,,,,,,,,,,,,,
Long-run Dynamic Distribution,80.0% - 100%,-0.018,,,,,,,,,,,,,
Long-run Dynamic Distribution,80.0% - 90.0%,-0.011,,,,,,,,,,,,,
Long-run Dynamic Distribution,90.0% - 95.0%,-0.013,,,,,,,,,,,,,
Long-run Dynamic Distribution,95.0% - 99.0%,-0.017,,,,,,,,,,,,,
Long-run Dynamic Distribution,99.0% - 100%,-0.031,,,,,,,,,,,,,
Long-run Dynamic Distribution,TOTAL FOR ALL,-0.014,,,,,,,,,,,,,
