Indicator,Sub-indicator,Value,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Economic,GDP,0.003565014,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Economic,GNP,0.001701484,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Economic,Capital Stock,0.020160522,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Economic,Wage Rate,0.005471518,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Economic,Full-Time Equivalent Jobs,122000,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Revenue,2022,288.17,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Revenue,2023,248.6,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Revenue,2024,243.14,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Revenue,2025,239.79,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Revenue,2026,253.1,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Revenue,2027,269.34,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Revenue,2028,283.55,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Revenue,2029,298.62,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Revenue,2030,315.46,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Revenue,2031,332.78,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Revenue,2022 - 2031,2772.55,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Revenue,2022,229.08,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Revenue,2023,190.97,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Revenue,2024,189.55,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Revenue,2025,190.9,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Revenue,2026,208.35,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Revenue,2027,228.76,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Revenue,2028,247.38,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Revenue,2029,266.91,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Revenue,2030,288.05,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Revenue,2031,309.37,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Revenue,2022 - 2031,2349.32,,,,,,,,,,,,,,,,,,,,,,,,
2022 Conventional Distribution,0% - 20.0%,-0.015,,,,,,,,,,,,,,,,,,,,,,,,
2022 Conventional Distribution,20.0% - 40.0%,-0.0152,,,,,,,,,,,,,,,,,,,,,,,,
2022 Conventional Distribution,40.0% - 60.0%,-0.0146,,,,,,,,,,,,,,,,,,,,,,,,
2022 Conventional Distribution,60.0% - 80.0%,-0.0128,,,,,,,,,,,,,,,,,,,,,,,,
2022 Conventional Distribution,80.0% - 100%,0.0017,,,,,,,,,,,,,,,,,,,,,,,,
2022 Conventional Distribution,80.0% - 90.0%,-0.01,,,,,,,,,,,,,,,,,,,,,,,,
2022 Conventional Distribution,90.0% - 95.0%,-0.0084,,,,,,,,,,,,,,,,,,,,,,,,
2022 Conventional Distribution,95.0% - 99.0%,-0.0026,,,,,,,,,,,,,,,,,,,,,,,,
2022 Conventional Distribution,99.0% - 100%,0.0245,,,,,,,,,,,,,,,,,,,,,,,,
2022 Conventional Distribution,TOTAL FOR ALL,-0.0056,,,,,,,,,,,,,,,,,,,,,,,,
2031 Conventional Distribution,0% - 20.0%,-0.011,,,,,,,,,,,,,,,,,,,,,,,,
2031 Conventional Distribution,20.0% - 40.0%,-0.0129,,,,,,,,,,,,,,,,,,,,,,,,
2031 Conventional Distribution,40.0% - 60.0%,-0.0115,,,,,,,,,,,,,,,,,,,,,,,,
2031 Conventional Distribution,60.0% - 80.0%,-0.0098,,,,,,,,,,,,,,,,,,,,,,,,
2031 Conventional Distribution,80.0% - 100%,0.0066,,,,,,,,,,,,,,,,,,,,,,,,
2031 Conventional Distribution,80.0% - 90.0%,-0.0071,,,,,,,,,,,,,,,,,,,,,,,,
2031 Conventional Distribution,90.0% - 95.0%,-0.0046,,,,,,,,,,,,,,,,,,,,,,,,
2031 Conventional Distribution,95.0% - 99.0%,0.0027,,,,,,,,,,,,,,,,,,,,,,,,
2031 Conventional Distribution,99.0% - 100%,0.0326,,,,,,,,,,,,,,,,,,,,,,,,
2031 Conventional Distribution,TOTAL FOR ALL,-0.0017,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,0% - 20.0%,-0.0024,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,20.0% - 40.0%,-0.0055,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,40.0% - 60.0%,-0.0039,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,60.0% - 80.0%,-0.002,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,80.0% - 100%,0.0208,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,80.0% - 90.0%,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,90.0% - 95.0%,0.0051,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,95.0% - 99.0%,0.0156,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,99.0% - 100%,0.0569,,,,,,,,,,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,TOTAL FOR ALL,0.0095,,,,,,,,,,,,,,,,,,,,,,,,
